"RecordIDS","AverageConsistency","Assets-Consistency","Assets-Values","Name-Consistency","Name-Values","Website-Consistency","Website-Values","Marketvalue-Consistency","Marketvalue-Values","Revenue-Consistency","Revenue-Values","Revenuesource-Consistency","Revenuesource-Values","Hqcity-Consistency","Hqcity-Values","Foundingdate-Consistency","Foundingdate-Values","Industry-Consistency","Industry-Values"
"fortune_500_id_1060+top_2000_id_1425+us_companies_id_1304","0.4999999999999999","0.3333333333333333","{0.0|0.0|0.0}","0.3333333333333333","{Morgan Stanley|Morgan Stanley|Morgan Stanley}","1.0","{http://www.morganstanley.com}","0.0","{53.823|781.0|0.0}","0.3333333333333333","{0.0|0.0|0.0}","1.0","{Not reported by company}","0.5","{New York|New York}","1.0","{1935}","0.0","{Commercial Banks|Finance & Investment}"
"top_2000_id_2279+us_companies_id_1303","0.7222222222222222","0.5","{0.0|0.0}","0.5","{Moody's|Moody's}","1.0","{https://www.moodys.com}","0.0","{4.0|0.0}","0.5","{0.0|0.0}","1.0","{Not reported by company}","1.0","{New York}","1.0","{1909}","1.0","{Finance & Investment}"
"top_2000_id_1777+us_companies_id_1281+us_companies_id_1347","0.5185185185185185","1.0","{0.0|0.0|0.0}","0.0","{Agilent Technologies|LOVELAND Technologies|Palantir Technologies}","0.0","{www.makeloveland.com|https://www.palantir.com}","0.6666666666666666","{10.7|0.0|0.0}","1.0","{0.0|0.0|0.0}","1.0","{Subscriptions, Special Projects}","0.0","{Detroit|Palo Alto}","0.0","{2010|2004}","1.0","{Data/Technology|Data/Technology}"
"top_2000_id_1300+us_companies_id_1227","0.7777777777777778","1.0","{0.0|0.0}","0.0","{Wilmar International|Impaq International}","1.0","{http://www.impaqint.com}","0.0","{41.7|0.0}","1.0","{0.0|0.0}","1.0","{Not reported by company}","1.0","{Columbia}","1.0","{2001}","1.0","{Research & Consulting}"
"fortune_500_id_1030+top_2000_id_1018+us_companies_id_1086","0.4999999999999999","0.3333333333333333","{0.0|0.0|0.0}","0.3333333333333333","{Citigroup|Citigroup|Citigroup}","1.0","{http://www.citigroup.com/citi/}","0.0","{103.449|1864.7|0.0}","0.3333333333333333","{0.0|0.0|0.0}","1.0","{Not reported by company}","0.5","{New York|New York}","1.0","{1812}","0.0","{Commercial Banks|Finance & Investment}"
"top_2000_id_1313+us_companies_id_1459","0.7777777777777778","1.0","{0.0|0.0}","0.0","{Telenor|Telenav}","1.0","{http://www.telenav.com/}","0.0","{29.6|0.0}","1.0","{0.0|0.0}","1.0","{Not reported by company}","1.0","{Sunnyvale}","1.0","{1999}","1.0","{Geospatial/Mapping}"
"top_2000_id_2917+us_companies_id_1212","0.7777777777777778","1.0","{0.0|0.0}","0.0","{Health Net|Healthline}","1.0","{http://www.healthline.com}","0.0","{3.9|0.0}","1.0","{0.0|0.0}","1.0","{Not reported by company}","1.0","{San Francisco}","1.0","{2005}","1.0","{Healthcare}"
"fortune_500_id_1035+us_companies_id_1444","0.5555555555555556","0.5","{0.0|0.0}","0.5","{State Farm Insurance|State Farm Insurance}","1.0","{http://www.statefarm.com/}","0.0","{79.395|0.0}","0.5","{0.0|0.0}","1.0","{Not reported by company}","0.5","{Bloomington|Bloomington}","1.0","{1922}","0.0","{Insurance: Property and Casualty (Mutual)|Insurance}"
"fortune_500_id_1016+top_2000_id_1002+us_companies_id_1249","0.6296296296296295","0.6666666666666666","{0.0|0.0|0.0}","0.3333333333333333","{JPMorgan Chase|JPMorgan Chase|J.P. Morgan Chase}","1.0","{http://www.jpmorganchase.com/corporate/Home/home.htm}","0.0","{142.422|2359.1|0.0}","0.6666666666666666","{0.0|0.0|0.0}","1.0","{Not reported by company}","1.0","{New York|New York}","1.0","{1799}","0.0","{Commercial Banks|Finance & Investment}"
"top_2000_id_1088+us_companies_id_1240+us_companies_id_1324","0.5185185185185185","1.0","{0.0|0.0|0.0}","0.0","{United Technologies|Intermap Technologies|Noveda Technologies}","0.0","{www.intermap.com|www.noveda.com}","0.6666666666666666","{89.4|0.0|0.0}","1.0","{0.0|0.0|0.0}","1.0","{Not provided by company}","1.0","{Englewood}","0.0","{1996|2007}","0.0","{Geospatial/Mapping|Data/Technology}"
"fortune_500_id_1076+us_companies_id_1273","0.6666666666666666","1.0","{0.0|0.0}","0.0","{Liberty Mutual Insurance Group|Liberty Mutual Insurance Cos.}","1.0","{http://www.libertymutual.com}","0.0","{43.228|0.0}","1.0","{0.0|0.0}","1.0","{Not reported by company}","1.0","{Boston|Boston}","1.0","{1912}","0.0","{Insurance: Property and Casualty (Stock)|Insurance}"
"fortune_500_id_1497+top_2000_id_2372+us_companies_id_1078","0.4999999999999999","0.3333333333333333","{0.0|0.0|0.0}","0.3333333333333333","{Cerner|Cerner|Cerner}","1.0","{http://www.cerner.com}","0.0","{5.693|3.7|0.0}","0.3333333333333333","{0.0|0.0|0.0}","1.0","{Not reported by company}","0.5","{North Kansas City|North Kansas City}","1.0","{1979}","0.0","{Health Care: Pharmacy and Other Services|Healthcare}"
"top_2000_id_2001+us_companies_id_1072","0.7777777777777778","1.0","{0.0|0.0}","0.0","{CarMax|CARFAX}","1.0","{http://www.carfax.com}","0.0","{9.3|0.0}","1.0","{0.0|0.0}","1.0","{Not provided by company}","1.0","{Centreville}","1.0","{1984}","1.0","{Transportation}"
"top_2000_id_1217+us_companies_id_1141","0.7222222222222222","0.5","{0.0|0.0}","0.5","{EMC|EMC}","1.0","{http://www.emc.com/index.htm}","0.0","{38.1|0.0}","0.5","{0.0|0.0}","1.0","{Not reported by company}","1.0","{Hopkinton}","1.0","{1979}","1.0","{Data/Technology}"
"fortune_500_id_1005+top_2000_id_1009+us_companies_id_1044","0.4999999999999999","0.3333333333333333","{0.0|0.0|0.0}","0.3333333333333333","{Berkshire Hathaway|Berkshire Hathaway|Berkshire Hathaway}","1.0","{http://www.berkshirehathaway.com}","0.0","{254.616|427.5|0.0}","0.3333333333333333","{0.0|0.0|0.0}","1.0","{Not reported by company}","0.5","{Omaha|Omaha}","1.0","{1998}","0.0","{Insurance: Property and Casualty (Stock)|Finance & Investment}"
